city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Prague,50.0833,14.4167,Czechia,CZ,"Praha, Hlavní Město",primary,1335084,1335084
Brno,49.1953,16.6083,Czechia,CZ,Jihomoravský Kraj,admin,382405,382405
Ostrava,49.8356,18.2925,Czechia,CZ,Moravskoslezský Kraj,admin,284982,284982
Plzeň,49.7414,13.3825,Czechia,CZ,Plzeňský Kraj,admin,175219,175219
Liberec,50.7700,15.0584,Czechia,CZ,Liberecký Kraj,admin,104261,104261
Olomouc,49.5939,17.2508,Czechia,CZ,Olomoucký Kraj,admin,100514,100514
České Budějovice,48.9747,14.4747,Czechia,CZ,Jihočeský Kraj,admin,94229,94229
Hradec Králové,50.2092,15.8319,Czechia,CZ,Královéhradecký Kraj,admin,92683,92683
Ústí nad Labem,50.6592,14.0417,Czechia,CZ,Ústecký Kraj,admin,91982,91982
Pardubice,50.0386,15.7792,Czechia,CZ,Pardubický Kraj,admin,91755,91755
Zlín,49.2331,17.6669,Czechia,CZ,Zlínský Kraj,admin,74478,74478
Havířov,49.7778,18.4228,Czechia,CZ,Moravskoslezský Kraj,,70165,70165
Kladno,50.1431,14.1053,Czechia,CZ,Středočeský Kraj,,68896,68896
Most,50.5031,13.6367,Czechia,CZ,Ústecký Kraj,,65341,65341
Opava,49.9381,17.9044,Czechia,CZ,Moravskoslezský Kraj,,55996,55996
Frýdek-Místek,49.6881,18.3536,Czechia,CZ,Moravskoslezský Kraj,,55006,55006
Jihlava,49.4003,15.5906,Czechia,CZ,Vysočina,admin,51125,51125
Karviná,49.8542,18.5428,Czechia,CZ,Moravskoslezský Kraj,,50902,50902
Teplice,50.6333,13.8167,Czechia,CZ,Ústecký Kraj,,49705,49705
Chomutov,50.4628,13.4111,Czechia,CZ,Ústecký Kraj,,48349,48349
Karlovy Vary,50.2306,12.8725,Czechia,CZ,Karlovarský Kraj,admin,48319,48319
Děčín,50.7736,14.1961,Czechia,CZ,Ústecký Kraj,,47951,47951
Jablonec nad Nisou,50.7278,15.1700,Czechia,CZ,Liberecký Kraj,,45317,45317
Mladá Boleslav,50.4125,14.9064,Czechia,CZ,Středočeský Kraj,,44506,44506
Prostějov,49.4722,17.1106,Czechia,CZ,Olomoucký Kraj,,43381,43381
Přerov,49.4556,17.4511,Czechia,CZ,Olomoucký Kraj,,42451,42451
Česká Lípa,50.6856,14.5377,Czechia,CZ,Liberecký Kraj,,37361,37361
Třebíč,49.2150,15.8817,Czechia,CZ,Vysočina,,35107,35107
Třinec,49.6776,18.6708,Czechia,CZ,Moravskoslezský Kraj,,34778,34778
Tábor,49.4145,14.6578,Czechia,CZ,Jihočeský Kraj,,34119,34119
Znojmo,48.8555,16.0488,Czechia,CZ,Jihomoravský Kraj,,33775,33775
Kolín,50.0282,15.2006,Czechia,CZ,Středočeský Kraj,,32490,32490
Příbram,49.6900,14.0105,Czechia,CZ,Středočeský Kraj,,32248,32248
Cheb,50.0798,12.3740,Czechia,CZ,Karlovarský Kraj,,31920,31920
Písek,49.3089,14.1475,Czechia,CZ,Jihočeský Kraj,,30379,30379
Trutnov,50.5610,15.9128,Czechia,CZ,Královéhradecký Kraj,,29958,29958
Kroměříž,49.2979,17.3931,Czechia,CZ,Zlínský Kraj,,28360,28360
Orlová,49.8452,18.4302,Czechia,CZ,Moravskoslezský Kraj,,28330,28330
Líšeň,49.2075,16.6861,Czechia,CZ,Jihomoravský Kraj,,26781,26781
Břevnov,50.0833,14.3579,Czechia,CZ,Středočeský Kraj,,26275,26275
Vsetín,49.3387,17.9962,Czechia,CZ,Zlínský Kraj,,25782,25782
Šumperk,49.9653,16.9707,Czechia,CZ,Olomoucký Kraj,,25452,25452
Uherské Hradiště,49.0698,17.4597,Czechia,CZ,Zlínský Kraj,,25001,25001
Břeclav,48.7590,16.8820,Czechia,CZ,Jihomoravský Kraj,,24554,24554
Hodonín,48.8490,17.1324,Czechia,CZ,Jihomoravský Kraj,,24385,24385
Český Těšín,49.7461,18.6262,Czechia,CZ,Moravskoslezský Kraj,,24069,24069
Litoměřice,50.5336,14.1319,Czechia,CZ,Ústecký Kraj,,23623,23623
