city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bratislava,48.1447,17.1128,Slovakia,SK,Bratislavský,primary,429564,429564
Košice,48.7167,21.2500,Slovakia,SK,Košický,admin,238593,238593
Petržalka,48.1333,17.1167,Slovakia,SK,Bratislavský,,103190,103190
Prešov,49.0000,21.2333,Slovakia,SK,Prešovský,admin,88680,88680
Žilina,49.2167,18.7333,Slovakia,SK,Žilinský,admin,82704,82704
Banská Bystrica,48.7353,19.1453,Slovakia,SK,Banskobystrický,admin,78327,78327
Nitra,48.3147,18.0875,Slovakia,SK,Nitriansky,admin,77374,77374
Trnava,48.3777,17.5862,Slovakia,SK,Trnavský,admin,65382,65382
Trenčín,48.8942,18.0406,Slovakia,SK,Trenčiansky,admin,55593,55593
Martin,49.0636,18.9214,Slovakia,SK,Žilinský,minor,54978,54978
Poprad,49.0500,20.3000,Slovakia,SK,Prešovský,minor,52037,52037
Prievidza,48.7714,18.6242,Slovakia,SK,Nitriansky,minor,48134,48134
Zvolen,48.5831,19.1331,Slovakia,SK,Banskobystrický,minor,42476,42476
Považská Bystrica,49.1167,18.4500,Slovakia,SK,Nitriansky,minor,39837,39837
Michalovce,48.7575,21.9183,Slovakia,SK,Košický,minor,39151,39151
Nové Zámky,47.9831,18.1728,Slovakia,SK,Nitriansky,minor,38172,38172
Spišská Nová Ves,48.9500,20.5667,Slovakia,SK,Košický,minor,37326,37326
Komárno,47.7633,18.1283,Slovakia,SK,Nitriansky,,33927,33927
Humenné,48.9306,21.9122,Slovakia,SK,Prešovský,minor,33441,33441
Levice,48.2136,18.6069,Slovakia,SK,Nitriansky,minor,32735,32735
Liptovský Mikuláš,49.0811,19.6181,Slovakia,SK,Žilinský,minor,32593,32593
Bardejov,49.2950,21.2758,Slovakia,SK,Prešovský,minor,32587,32587
Lučenec,48.3314,19.6708,Slovakia,SK,Banskobystrický,minor,27991,27991
Piešťany,48.5833,17.8333,Slovakia,SK,Trnavský,minor,27336,27336
Ružomberok,49.0786,19.3083,Slovakia,SK,Žilinský,minor,26854,26854
Topoľčany,48.5500,18.1833,Slovakia,SK,Nitriansky,minor,25492,25492
Trebišov,48.6333,21.7167,Slovakia,SK,Košický,minor,24587,24587
Čadca,49.4386,18.7883,Slovakia,SK,Žilinský,minor,24315,24315
Dubnica nad Váhom,48.9575,18.1658,Slovakia,SK,Nitriansky,,24068,24068
Rimavská Sobota,48.3814,20.0200,Slovakia,SK,Banskobystrický,minor,24010,24010
Pezinok,48.2667,17.2667,Slovakia,SK,Bratislavský,minor,22861,22861
Partizánske,48.6333,18.3667,Slovakia,SK,Nitriansky,minor,22653,22653
Dunajská Streda,47.9961,17.6147,Slovakia,SK,Trnavský,minor,22643,22643
Vranov nad Topľou,48.8806,21.6731,Slovakia,SK,Prešovský,minor,22589,22589
Šaľa,48.1500,17.8833,Slovakia,SK,Nitriansky,minor,22219,22219
Hlohovec,48.4311,17.8031,Slovakia,SK,Trnavský,minor,21715,21715
Brezno,48.8036,19.6381,Slovakia,SK,Banskobystrický,minor,21082,21082
